Name	Appears in	Start Page	End Page	AFTFL Refs #	ARTFL linlk	Dates Appears in the Comedy
Esgrignon, Charles-Marie-Victor-Ange-Carol, Marquis D'	The Chouans::Jealousies Of A Country Town::					
Esgrignon, Madame D'	Jealousies Of A Country Town::					
Esgrignon, Marie-Armande-Claire D'	Jealousies Of A Country Town::					
Esgrignon, Victurnien, Comte, Then Marquis D'	Cousin Betty::					
Espard, Camille, Vicomte D'	The Commission In Lunacy::					
Espard, Charles-Maurice-Marie-Andoche, Comte De Negrepelisse, Marquis D'	Scenes From A Courtesan's Life::					
Espard, Chevalier D'	The Commission In Lunacy::Scenes From A Courtesan's Life::The Secrets Of A Princess::					
Espard, Jeanne-Clementine-Athenais De Blamont-Chauvry, Marquise D'						
Estival, Abbe D'	The Middle Classes::					
Estorade, Armand De L'	Letters Of Two Brides::The Member For Arcis::					
Estorade, Baron, Afterwards Comte De L'	Letters Of Two Brides::					
Estorade, Jeanne-Athenais De L'	See Sallenauve, Mme::Charles De::					
Estorade, Louis, Chevalier, Then Vicomte And Comte De L'	Letters Of Two Brides::The Member For Arcis::					
Estorade, Madame De L'	Ursule Mirouet::					
Estorade, Rene De L'	Letters Of Two Brides::					
Estourny, Charles D'	Scenes From A Courtesan's Life::A Man Of Business::					
Etienne & Co	At The Sign Of The Cat And Racket::					
Eugène	The Maranas::					
Eugenie						
Euphrasie	Melmoth Reconciled::The Magic Skin::					
Europe						
Evangelista, Madame	A Marriage Settlement::					
Evangelista, Natalie	See that name::					
Evelina	The Country Doctor::					
Faille & Bouchot	Cesar Birotteau::					
Falcon, Jean	Cousin Betty::					
Falcon, Marie-Cornelie	Lost Illusions					
Falleix, Jacques	The Government Clerks::The Thirteen::Scenes From A Courtesan's Life::					
Falleix, Martin	The Firm Of Nucingen::					
Fanchette	A Bachelor's Establishment::					
Fanjat	Farewell::					
Fanny	La Grenadiere::					
Fanny	The Red Inn::					
Fario	A Bachelor's Establishment::					
Farrabesche	The Country Parson::					
Farrabesche, Benjamin	The Country Parson::					
Farrabesche, Madame	The Country Parson::					
Faucombe, De	Beatrix::					
Faucombe, Madame De	Beatrix::					
Faustine	Jealousies Of A Country Town::					
Felicie	The Maranas::					
Felicite	The Seamy Side Of History::					
Felix	Scenes From A Courtesan's Life::					
Fendant	A Distinguished Provincial At Paris::					
Ferdinand						
Ferdinand	The Chouans::Beatrix::					
Feredia, Count Bagos De	La Grande Breteche::					
Feret, Athanase	A Start In Life::					
Ferragus XXIII	See Bourignard::					
Ferraro, Count	Melmoth Reconciled::					
Ferraud, Comte	Colonel Chabert::					
Ferraud, Comtesse	The Government Clerks::					
Ferraud, Jules	Colonel Chabert::					
Fessard	Eugenie Grandet::					
Fichet, Mademoiselle	A Bachelor's Establishment::					
Finot, Andoche	Scenes From A Courtesan's Life::					
Firmiani	Madame Firmiani::					
Firmiani, Madame	See Camps, Mme::De::					
Fischer	Cousin Betty::					
Fischer, Adeline	See Hulot, D'Ervy, Baronne Hector::					
Fischer, Lisbeth	Cousin Betty::					
Fitz-William, Miss Margaret	Beatrix::					
Flamet	See La Billardiere, Flamet De::					
Fleurant, Mother	A Seaside Tragedy::					
Fleuriot	Farewell::					
Fleury	The Middle Classes::					
Flicoteaux	A Distinguished Provincial At Paris::					
Florent	Cousin Betty::Cousin Pons::					
Florentne	See Cabirolle, Agathe-Florentine::					
Florimond, Madame	Cousin Pons::					
Florine	See Nathan, Mme::Raoul::					
Florville, La	A Distinguished Provincial At Paris::					
Foedora, Comtesse	The Magic Skin::					
Fontaine, Baronne De	The Muse Of The Department::					
Fontaine, Comte De	The Government Clerks::					
Fontaine, Madame	The Unconscious Humorists::Cousin Pons::					
Fontanieu, Madame	Gaudissart The Great::					
Fontanon, Abbe	The Member For Arcis::					
Fortin, Madame	Cousin Betty::					
Fortin, Valerie	See Crevel, Madame::					
Fosseuse, La	The Country Doctor::					
Fouche, Joseph	Scenes From A Courtesan's Life::					
Fouquereau	The Thirteen::					
Fourchon	The Peasantry::					
Foy, Maximilien-Sebastien	A Distinguished Provincial At Paris::					
Fraisier	Cousin Pons::					
Franchessini, Colonel	Father Goriot::The Member For Arcis::					
Francois	The Peasantry::					
Francois	A Start In Life::					
Francois, Abbe	Jealousies Of A Country Town::					
Francoise	A Second Home::					
Frappart	The Member For Arcis::					
Frappier	Pierrette::					
Frederic	A Distinguished Provincial At Paris::					
Frelu, La Grande	A Seaside Tragedy::					
Fresconi	The Seamy Side Of History::					
Fresquin	The Country Parson::					
Frisch, Samuel	Scenes From A Courtesan's Life::					
Fritaud, Abbe	The Muse Of The Department::					
Fritot	Gaudissart II::					
Fritot, Madame	Gaudissart II::					
Froidfrond, Marquis De	Eugenie Grandet::					
Fromaget	The Member For Arcis::					
Fromenteau	The Unconscious Humorists::					
Funcal, Comte De	The Thirteen::					
Gabilleau	The Country Parson::					
Gabriel	The Government Clerks::					
Gabusson	A Distinguished Provincial At Paris::					
Gaillard	The Peasantry::					
Gaillard, Madame Theodore	Beatrix::The Unconscious Humorists::					
Gaillard, Theodore	The Unconscious Humorists::					
Galard	The Peasantry::					
Galard, Mademoiselle 	Albert Savarus::					
Galardon, Madame	Pierrette::					
Galathionne, Prince And Princess	Beatrix::					
Galope-Chopine	See Cibot::					
Gamard, Sophie	The Vicar Of Tours::					
Gambara, Marianina	Gambara::					
Gambara, Paolo	Gambara::					
Gandolphini, Prince	Albert Savarus::					
Gandolphini, Princesse	Albert Savarus::					
Ganivet	A Bachelor's Establishment::					
Ganivet, Mademoiselle	A Bachelor's Establishment::					
Gannerac	Lost Illusions::					
Garangeot	Cousin Pons::					
Garceland	Pierrette::					
Garcenault, De	Albert Savarus::					
Garnery	Scenes From A Courtesan's Life::					
Gasnier	The Country Doctor::					
Gasselin	Beatrix::					
Gaston, Louis	La Grenadiere::Letters Of Two Brides::					
Gaston, Madame Louis	Letters Of Two Brides::					
Gaston, Madame Marie	Letters Of Two Brides::					
Gaston, Marie	The Member For Arcis::					
Gatienne	A Second Home::					
Gaubert	A Start In Life::					
Gaubertin, Claude	The Peasantry::					
Gaubertin, Elisa Or Elise	The Peasantry::					
Gaubertin, Francois	The Peasantry::					
Gaubertin, Jenny	See Leclercq, Madame::					
Gaubertin, Madame	The Peasantry::					
Gaubertin-Vallat, Mademoiselle	The Peasantry::					
Gaucher	The Gondreville Mystery::					
Gaudet	A Start In Life::					
Gaudin	The Magic Skin::					
Gaudin, Madame	The Magic Skin::					
Gaudin, Pauline	The Magic Skin::					
Gaudissart, Felix	Gaudissart The Great::					
Gaudissart, Jean-Francois	Cesar Birotteau::					
Gaudron, Abbe	A Start In Life::					
Gault	Scenes From A Courtesan's Life::					
Gay	A Distinguished Provincial At Paris::					
Gazonal, Sylvestre-Palafox-Castel	The Unconscious Humorists::					
Gendrin	Cesar Birotteau::					
Gendrin	The Peasantry::					
Gendrin	The Peasantry::					
Gendrin	The Peasantry::					
Gendrin-Wattebled, Or Vatebled	The Peasantry::					
Genestas, Adrien	The Country Doctor::					
Genestas, Madame Judith	The Country Doctor::					
Genestas, Pierre-Joseph	The Country Doctor::					
Genevieve	Farewell::					
Genovese	Albert Savarus::					
Gentil	A Distinguished Provincial At Paris::					
Gentillet	Albert Savarus::					
Gentillet, Madame	Eugenie Grandet::					
Georges	Scenes From A Courtesan's Life::					
Gerard	The Chouans::					
Gerard, Francois-Pascal-Simon, Baron	Beatrix::					
Gerard, Gregoire	The Country Parson::					
Gerard, Madame Gregoire	The Country Parson::					
Gerard, Madame	Scenes From A Courtesan's Life::					
Giardini	Gambara::					
Giboulard, Gatienne	The Peasantry::					
Gigelmi	Gambara::					
Gigonnet	See Bidault::					
Giguet, Colonel	The Gondreville Mystery::The Member For Arcis::					
Giguet, Colonel	The Member For Arcis::					
Giguet, Simon	The Member For Arcis::					
Gilet, Maxence	A Bachelor's Establishment::					
Gille	Lost Illusions::					
Gina	Albert Savarus::					
Ginetta, La	Scenes From A Courtesan's Life::					
Girard	Gobseck::					
Girard, Mother	The Seamy Side Of History::					
Girardet	Albert Savarus::					
Giraud, Leon	The Secrets Of A Princess::The Unconscious Humorists::					
Girel	The Gondreville Mystery::					
Girodet, Anne-Louis	At The Sign Of The Cat And Racket::					
Giroud, Abbe	Albert Savarus::					
Giroudeau	A Distinguished Provincial At Paris::A Start In Life::A Bachelor's Establishment::					
Givry	Letters Of Two Brides::The Lily Of The Valley::Scenes From A Courtesan's Life::					
Gobain, Madame Marie	Honorine::					
Gobenheim	Beatrix::					
Gobenheim	Modeste Mignon::					
Gobet, Madame	Modeste Mignon::					
Gobseck, Esther Van	Gobseck::The Firm Of Nucingen::A Bachelor's Establishment::Scenes From A Courtesan's Life::					
Gobseck, Jean-Esther Van	Gobseck::Father Goriot::Cesar Birotteau::The Government Clerks::The Unconscious Humorists::					
Gobseck, Sarah Van	Gobseck::Cesar Birotteau::The Maranas::Scenes From A Courtesan's Life::The Member For Arcis::					
Godain	The Peasantry::					
Godain, Madame Catherine	The Peasantry::					
Godard, Joseph	The Government Clerks::The Middle Classes::					
Godard, Mademoiselle	The Government Clerks::					
Godard, Manon	The Seamy Side Of History::					
Goddet	A Bachelor's Establishment::					
Godefroid	The Seamy Side Of History::					
Godenars, Abbe De	Albert Savarus::					
Godeschal, Francois-Claude-Marie	Cousin Pons::					
Godeschal, Marie	A Bachelor's Establishment::A Start In Life::Scenes From A Courtesan's Life::Cousin Pons::					
Godin	A Prince Of Bohemia::					
Godin, La	The Peasantry::					
Godivet	The Member For Arcis::					
Godollo, Comtesse Torna De	The Middle Classes::					
Goguelat	The Country Doctor::					
Gohier	The Government Clerks::					
Gomez	A Woman Of Thirty::					
Gondrand, Abbe	The Thirteen::					
Gondreville 	The Gondreville Mystery::A Start In Life::Domestic Peace::The Member For Arcis::					
Gondreville, Charles De 	The Middle Classes::					
Gondreville, Comtesse Malin De	Domestic Peace::					
Gondrin	The Country Doctor::					
Gondrin, Abbe	The Middle Classes::					
Gondureau						
Gonore, La	Scenes From A Courtesan's Life::					
Gordes, Mademoiselle De	Jealousies Of A Country Town::					
Gorenflot	La Grande Breteche::					
Gorenflot	The Member For Arcis::					
Goriot,, Jean-Joachim	Father Goriot::					
Goritza, Princesse	Jealousies Of A Country Town::					
Gorju, Madame	The Muse Of The Department::					
Gothard	The Member For Arcis::					
Goujet, Abbe	The Gondreville Mystery::					
Goujet, Mademoiselle	The Gondreville Mystery::					
Goulard	The Gondreville Mystery::					
Goulard, Antonin	The Member For Arcis::					
Gounod	The Peasantry::					
Goupil, Jean-Sebastien-Marie	Ursule Mirouet::					
Gouraud, Général, Baron	Cousin Pons::					
Gourdon	The Peasantry::					
Gourdon	The Peasantry::					
Goussard, Laurent	The Member For Arcis::					
Grados	Colonel Chabert::					
Graff, Johann	Cousin Pons::					
Graff, Wolfgang	Cousin Betty::Cousin Pons::					
Grancey, Abbe De	Albert Savarus::					
Grancour, Abbe De	The Country Parson::					
Grandemain	A Start In Life::					
Grandet, Eugenie	See Bonfons, Eugenie Cruchot De::					
Grandet, Felix	Eugenie Grandet::					
Grandet, Madame Felix	Eugenie Grandet::					
Grandet, Victor-Ange-Guillaume	Eugenie Grandet::					
Grandet,, Charles	The Firm Of Nucingen::					
Grandlieu, Camille De	See Restaud, Comtesse Ernest De::					
Grandlieu, Clotilde-Frederique De	Scenes From A Courtesan's Life::					
Grandlieu, Comtesse De	The Hated Son::					
Grandlieu, Duc Ferdinand De	The Gondreville Mystery::The Thirteen::A Bachelor's Establishment::Modeste Mignon::Scenes From A Courtesan's Life::					
Grandlieu, Duchesse Ferdinand De	Scenes From A Courtesan's Life::Beatrix::A Daughter Of Eve::					
Grandlieu, Josephine De	See Ajuda-Pinto, Marquise Miguel D'::					
Grandlieu, Mademoiselle De	A Bachelor's Establishment::Scenes From A Courtesan's Life::					
Grandlieu, Mademoiselle	Jealousies Of A Country Town::					
Grandlieu, Marie-Athenais De	See Grandlieu, Vicomtesse Juste De::					
Grandlieu, Sabine De	See Guenic, Baronne Calyste Du::					
Grandlieu, Vicomte Juste De	Scenes From A Courtesan's Life::Gobseck::					
Grandlieu, Vicomtesse De	Scenes From A Courtesan's Life::Colonel Chabert::Gobseck::					
Grandlieu, Vicomtesse Juste De	Scenes From A Courtesan's Life::Gobseck::A Daughter Of Eve::					
Granet	Cesar Birotteau::					
Granet	Albert Savarus::					
Granson, Athanase	The Government Clerks::					
Granson, Madame	Jealousies Of A Country Town::					
Granville, Baron Eugène De	Scenes From A Courtesan's Life::A Second Home::					
Granville, Comte De	A Second Home::					
Granville, Comtesse Angelique De	A Second Home::The Thirteen::A Daughter Of Eve::					
Granville, Marie-Angelique De	See Vandenesse, Comtesse Felix De::					
Granville, Marie-Eugenie De	See Tillet, Madame Ferdinand Du::					
Granville, Vicomte De	The Gondreville Mystery::A Second Home::Farewell::Cesar Birotteau::Scenes From A Courtesan's Life::A Daughter Of Eve::Cousin Pons::					
Granville, Vicomte De	A Second Home::A Daughter Of Eve::The Country Parson::					
Graslin, Francis	The Country Parson::					
Graslin, Madame Pierre	The Country Parson::					
Graslin, Pierre	The Country Parson::					
Grasset	Cousin Betty::					
Grassins, Adolphe Des	Eugenie Grandet::					
Grassins, Des	Eugenie Grandet::					
Grassins, Madame Des	Eugenie Grandet::					
Grassou, Madame Pierre	Pierre Grassou::					
Grassou, Pierre	Pierre Grassou::A Bachelor's Establishment::Cousin Betty::The Middle Classes::Cousin Pons::					
Gravelot 	The Peasantry::					
Gravier	The Muse Of The Department::					
Gravier	The Country Doctor::					
Grenier	The Seamy Side Of History::					
Grenouville	Cousin Betty::					
Grenouville, Madame	Cousin Betty::					
Grenville, Arthur-Ormond, Lord	A Woman Of Thirty::					
Grevin	Jealousies Of A Country Town::					
Grevin 	A Start In Life::The Gondreville Mystery::The Member For Arcis::					
Grevin, Madame	The Gondreville Mystery::					
Gribeaucourt, Mademoiselle De	Eugenie Grandet::					
Griffith, Miss	Letters Of Two Brides::					
Grignault, Sophie	See Nathan, Mme::Raoul::					
Grimbert	Father Goriot::					
Grimont	Beatrix::					
Grimpel	Father Goriot::					
Grindot	Cesar Birotteau::Lost Illusions::A Distinguished Provincial At Paris::A Start In Life::Scenes From A Courtesan's Life::Beatrix::The Middle Classes::Cousin Betty::					
Groison	The Peasantry::					
Gros, Antoine-Jean	A Bachelor's Establishment::					
Groslier	The Member For Arcis::					
Grosmort	Jealousies Of A Country Town::					
Gross-Narp, Comte De	Scenes From A Courtesan's Life::					
Grosstete	The Country Parson::The Muse Of The Department::					
Grosstete, F.	The Country Parson::					
Grosstete, Madame F.	The Country Parson::					
Grozier, Abbe	The Commission In Lunacy::					
Gruget, Ida	The Thirteen::					
Gruget, Madame Etienne	A Bachelor's Establishment::					
Gua Saint-Cyr, Du	The Chouans::					
Gua Saint-Cyr, Madame Du	The Chouans::					
Gua Saint-Cyr, Monsieur And Madame Du	The Chouans::					
Gudin	The Chouans::					
Gudin, Abbe	The Chouans::					
Guenee, Madame	See Galardon, Madame::					
Guenic, Baronne Du	Beatrix::					
Guenic, Gaudebert-Calyste-Charles, Baron Du	The Chouans::Beatrix::					
Guenic, Gaudebert-Calyste-Louis Du	Beatrix::					
Guenic, Madame Calyste Du	Beatrix::					
Guenic, Zephirine Du	Beatrix::					
Guepin	Pierrette::					
Guerbet	The Peasantry::					
Guerbet	The Peasantry::					
Guerbet	The Peasantry::					
Guillaume	At The Sign Of The Cat And Racket::Cesar Birotteau::					
Guillaume	A Woman Of Thirty::					
Guillaume, Madame	At The Sign Of The Cat And Racket::					
Guinard, Abbe	The Muse Of The Department::					
Gyas, Marquise De	A Marriage Settlement::					
Habert, Abbe	Pierrette::					
Habert, Celeste	Pierrette::					
Hadot, Madame	The Muse Of The Department::					
Halga, Chevalier Du	The Purse::Beatrix::					
Halpersohn, Moses	The Seamy Side Of History::					
Halpertius						
Hannequin, Leopold	Albert Savarus::Beatrix::Cousin Betty::Cousin Pons::					
Happe & Duncker	The Quest Of The Absolute::					
Haudry	Cesar Birotteau::The Thirteen::A Bachelor's Establishment::The Seamy Side Of History::Cousin Pons::					
Haugoult, Pere	Louis Lambert::					
Hauteserre, Abbe D'	The Gondreville Mystery::					
Hauteserre, Adrien D'	The Gondreville Mystery::					
Hauteserre, D'	The Gondreville Mystery::The Member For Arcis::					
Hauteserre, Madame D'	The Gondreville Mystery::					
Hauteserre, Robert D'	The Gondreville Mystery::					
Hautoy, Francis Du	Lost Illusions::					
Henri	The Middle Classes::					
Herbelot	The Member For Arcis::					
Herbelot, Malvina	The Member For Arcis::					
Herbomez	The Seamy Side Of History::					
Herbomez, D'	The Seamy Side Of History::					
Heredia, Marie	See Soria, Duchesse De::					
Hermann	The Red Inn::					
Heron	A Bachelor's Establishment::					
Herouville, Duc D'	The Hated Son::Jealousies Of A Country Town::Modeste Mignon::Cousin Betty::					
Herouville, Helene D'	Modeste Mignon::					
Herouville, Mademoiselle D'	Modeste Mignon::					
Herouville, Marechal D'	The Hated Son::Modeste Mignon::					
Herrera, Carlos	Lost Illusions::Scenes From A Courtesan's Life::					
Hiclar	The Unconscious Humorists::					
Hiley	The Seamy Side Of History::					
Hippolyte	Farewell::					
Hochon	A Bachelor's Establishment::					
Hochon	A Bachelor's Establishment::					
Hochon, Francois	A Bachelor's Establishment::					
Hochon, Madame	A Bachelor's Establishment::					
Honorine	See Bauvan, Comtesse Octave De::					
Hopwood, Lady Julia	The Thirteen::					
Horeau, Jacques	The Seamy Side Of History::					
Hortense 	A Man Of Business::The Member For Arcis::					
Hostal, Madame Maurice De L'	Honorine::					
Hostal, Maurice De L'	Honorine::					
Hulot	The Chouans::The Muse Of The Department::Cousin Betty::					
Hulot, Hortense	See Steinbock, Comtesse Wenceslas::					
Hulot, Madame Victorin	Cousin Betty::					
Hulot, Victorin	The Member For Arcis::Cousin Betty::					
Hulot D'Ervy, Baron Hector	Cousin Betty::					
Hulot D'Ervy, Baronne Hector	Cousin Betty::					
Hulot D'Ervy, Baronne Hector	Cousin Betty::					
Humann	Z. Marcas::					
Husson, Madame Oscar	A Start In Life::					
Husson, Madame.	See Mme::Clapart::					
Husson, Oscar	A Start In Life::					
Hyde De Neuville, Jean-Guillaume, Baron	The Chouans::					
Idamore	Cousin Betty::					
Isemberg, Marechal, Duc D'	Domestic Peace::					
Jacmin, Philoxene	Modeste Mignon::					
Jacomety	Scenes From A Courtesan's Life::					
Jacquelin	Jealousies Of A Country Town::					
Jacques	Father Goriot::The Deserted Woman::					
Jacquet, Claude-Joseph	The Thirteen::					
Jacquinot						
Jacquotte	The Country Doctor::					
Jan	Cousin Betty::					
Janvier	The Country Doctor::					
Japhet, Baron	The Magic Skin::					
Jean	La Grande Breteche::					
Jean	Eugenie Grandet::					
Jean	The Thirteen::					
Jean	The Peasantry::					
Jeannette	Cesar Birotteau::					
Jeanrenaud	The Commission In Lunacy::Albert Savarus::					
Jeanrenaud, Madame	The Commission In Lunacy::					
Jenny	Melmoth Reconciled::					
Jerome	Albert Savarus::					
Jerome, Pere	A Distinguished Provincial At Paris::					
Johnson, Samuel						
Jolivard	Cousin Pons::					
Jonathas	The Magic Skin::					
Jordy, De	Ursule Mirouet::					
Joseph	The Peasantry::					
Joseph	The Magic Skin::A Study Of Woman::					
Joseph	Cesar Birotteau::					
Joseph	Cousin Betty::					
Josepha	See Mirah, Josepha::					
Josette	The Quest Of The Absolute::					
Josette	A Marriage Settlement::					
Josette	Jealousies Of A Country Town::					
Judici, Atala	Cousin Betty::					
Judith	See Mme::Genestas::					
Julien	Scenes From A Courtesan's Life::					
Julien	The Member For Arcis::					
Julliard	Pierrette::					
Julliard	Pierrette::					
Jussieu, Julien	The Conscript::					
Juste	Z. Marcas::					
Justin	The Thirteen::					
Justine	The Magic Skin::					
Katt	Scenes From A Courtesan's Life::The Middle Classes::					
Keller, Adolphe	The Middle Classes::Pierrette::Cesar Birotteau::					
Keller, Francois	Domestic Peace::Cesar Birotteau::Eugenie Grandet::The Government Clerks::The Member For Arcis::					
Keller, Madame Francois	Domestic Peace::The Member For Arcis::The Thirteen::					
Keller,, Charles	The Member For Arcis::					
Kergarouet, Charlotte De	Beatrix::					
Kergarouet, Comte De	The Purse::The Ball At Sceaux::Ursule Mirouet::					
Kergarouet, Comtesse De	See Vandenesse, Marquise Charles De::					
Kergarouet, Vicomte De	Beatrix::					
Kergarouet, Vicomtesse De	Beatrix::					
Kolb	Lost Illusions::					
Kolb, Marion	Lost Illusions::					
Kouski	A Bachelor's Establishment::					
Kropoli, Zena	The Peasantry::					
La Bastie La Briere, Ernest De	The Government Clerks::Modeste Mignon::					
La Bastie La Briere, Madame Ernest De	Modeste Mignon::The Member For Arcis::Cousin Betty::La Bastie Is Sometimes Written La Batie::					
La Baudraye, Madame Polydore Milaud De	The Muse Of The Department::A Prince Of Bohemia::Cousin Betty::					
La Baudraye(Jean-Athanase-Polydore Milaud De	The Muse Of The Department::					
La Berge, De	The Lily Of The Valley::					
La Bertelliere	Eugenie Grandet::					
La Billardiere, Anthanase-Jean-Francoise-Michel, Baron Flamet De	The Chouans::Cesar Birotteau::The Government Clerks::					
La Billardiere, Benjamin, Chevalier De	The Government Clerks::					
La Blottiere, Mademoiselle Merlin De	The Vicar Of Tours::					
La Briere, Ernest De	See La Bastie La Briere::					
La Chanterie, Baron Henri Le Chantre De	The Seamy Side Of History::					
La Chanterie, Baronne Henri Le Chantre De	The Seamy Side of History::Cousin Betty::					
La Chanterie, Le Chantre De	The Seamy Side Of History::					
La Garde, Madame De	See Aquilina::					
La Gaudiniere, Madame	Eugenie Grandet::					
La Grave, Mesdemoiselles	The Government Clerks::					
La Haye, Mademoiselle De	See Petit-Claud, Madame::					
La Palferine, Gabriel-Jean-Anne-Victor-Benjamin-Georges-Ferdinand-Charles-Edouard-Rusticoli, Comte De	A Prince Of Bohemia::A Man Of Business::Cousin Betty::Beatrix::The Imaginary Mistress::					
La Peyrade, Charles-Marie-Theodose De	Scenes From A Courtesan's Life::The Middle Classes::					
La Peyrade, Madame De	Scenes From A Courtesan's Life::The Middle Classes::					
La Pouraille						
La Roche, Sebastien De	The Government Clerks::					
La Roche-Guyon, De	Jealousies Of A Country Town::					
La Roche-Hugon, Madame Martial De	See Rastignac, Mesdemoiselles De::					
La Roche-Hugon, Martial De	Domestic Peace::The Peasantry::A Daughter Of Eve::The Member For Arcis::The Middle Classes::Cousin Betty::					
La Rodiere, Stephanie De	See Nueil, Madame Gaston De::					
La Roulie, Jacquin	Modeste Mignon::					
La Thaumassiere, De	The Muse Of The Department::					
Labranchoir, Comte De	The Country Doctor::					
Lacepede, Comte De	Cesar Birotteau::					
Lacroix	A Bachelor's Establishment::					
Laferte, Nicolas	See Cochegrue, Jean::					
Laginska, Comtesse Adam	The Imaginary Mistress::					
Laginski, Comte Adam Mitgislas	Another Study Of Woman::The Imaginary Mistress::Cousin Betty::					
Lagounia, Donna De	The Maranas::					
Lagounia, Perez De	The Maranas::					
Laguerre, Mademoiselle	The Peasantry::A Prince of Bohemia::					
Lamard	Gaudissart The Great::					
Lambert, Louis	Louis Lambert::A Distinguished Provincial At Paris::A Seaside Tragedy::					
Lambert, Madame	The Middle Classes::					1840
Langeais, Duc De	The Thirteen::					
Langeais, Duchesse Antoinette De	Father Goriot::The Thirteen::					
Langeais, Mademoiselle De	See Agathe, Sister::					
Langlume	The Peasantry::					
Languet	The Middle Classes::					
Lansac, Duchesse De	Domestic Peace::					
Lantimeche	The Middle Classes::					
Lanty, Comte De	Sarrasine::The Member For Arcis::					
Lanty, Comtesse De	Sarrasine::The Member For Arcis::					
Lanty, Filippo De	Sarrasine::The Member For Arcis::					
Lanty, Marianina De	Sarrasine::The Member For Arcis::					
Laraviniere	The Seamy Side Of History::					
Lardot, Madame	Jealousies Of A Country Town::					
Laroche	The Peasantry::					
Larsonniere, M. And Madame De	Eugenie Grandet::					
Latournelle, Exupere	Modeste Mignon::					
Latournelle, Madame	Modeste Mignon::					
Latournelle, Simon-Babylas	Modeste Mignon::					
Laudigeois	The Government Clerks::The Middle Classes::					
Laure	The Vendetta::					
Laurent	The Thirteen::					
Laurent	The Government Clerks::					
Lavienne	The Commission In Lunacy::					
Lavrille	The Magic Skin::					
Lebas	The Muse Of The Department::Cousin Betty::					
Lebas, Joseph	Cousin Betty::					
Lebas, Madame Joseph	At The Sign Of The Cat And Racket::Cesar Birotteau::Cousin Betty::					
Leboeuf	Cousin Pons::					
Lebrun	The Chouans::					
Lebrun	Cousin Betty::					
Lebrun	Cousin Pons::					
Lecamus, Baron De Tresnes	The Seamy Side Of History::					
Lechesneau	The Gondreville Mystery::					
Leclerq	The Peasantry::					
Leclerq	The Peasantry::					
Leclerq, Madame	The Peasantry::					
Lecocq	At The Sign Of The Cat And Racket::					
Lefebvre	Louis Lambert::A Seaside Tragedy::					
Lefebvre, Robert	Cousin Betty::					
Leganes, Clara De	El Verdugo::					
Leganes, Juanito De	El Verdugo::					
Leganes, Manuel De	El Verdugo::					
Leganes, Mariquita De	El Verdugo::					
Leganes, Marquis De	El Verdugo::					
Leganes, Marquise De	El Verdugo::					
Leganes, Philippe De	El Verdugo::					
Leger	A Start In Life::					
Legrelu	The Middle Classes::					
Lelewel	The Imaginary Mistress::The Seamy Side Of History::					
Lemarchand	See Tours, Minieres des::					
Lemire	A Bachelor's Establishment::					
Lempereur	Cesar Birotteau::					
Lemprun	The Middle Classes::					
Lemprun, Madame	The Middle Classes::					
Lemulquinier	The Quest Of The Absolute::					
Lenoncourt, De	The Chouans::					
Lenoncourt, Duc De	The Lily Of The Valley::Cesar Birotteau::Jealousies Of A Country Town::The Gondreville Mystery::Beatrix::					
Lenoncourt, Duchesse De	The Lily Of The Valley::					
Lenoncourt-Givry, Duc De	The Member For Arcis::					
Lenoncourt-Givry, Duchesse De	The Lily Of The Valley::Letters Of Two Brides::Scenes From A Courtesan's Life::					
Lenormand 	Honorine::					
Leopold	Albert Savarus::					
Lepas, Madame De	La Grande Bretche::					
Lepitre	The Lily Of The Valley::					
Lepitre, Madame	The Lily Of The Valley::					
Leprince, Monsieur And Madame	The Government Clerks::					
Leroi, Madame	The Chouans::					
Leroi, Pierre	The Chouans::The Seamy Side Of History::Jealousies Of A Country Town::					
Leseigneur, Adelaide	See Schinner, Madame Hippolyte::					
Leseigneur De Rouville, Baronne	The Purse::					
Lesourd	Pierrette::					
Lesourd, Madame	Pierrette::					
Leveille, Jean-Francois	The Seamy Side Of History::					
Levrault	Ursule Mirouet::					
Levrault-Cremiere	Ursule Mirouet::					
Levrault-Levrault	Ursule Mirouet::					
Liautard, Abbe	The Seamy Side Of History::					
Lina, Duc De	The Miranas::					
Linet, Jean-Baptiste-Robert, Called Robert	The Government Clerks::					
Lisieux, Francois	The Seamy Side Of History::					
Listomere, Baron De	The Vicar Of Tours::					
Listomere, Baronne De	The Vicar Of Tours::Cesar Birotteau::The Muse Of The Department::					
Listomere, Comtesse De	The Member For Arcis::					
Listomere, Marquis De	The Lily Of The Valley::A Distinguished Provincial At Paris::A Study Of Woman::					
Listomere, Marquise De	The Lily Of The Valley::Lost Illusions::A Distinguished Provincial At Paris::A Study Of Woman::A Daughter Of Eve::					
Listomere, Marquise De	The Lily Of The Valley::					
Listomere-Landon, Marquise De	A Woman Of Thirty::					
Lolotte	See Topinard, Madame::					
Longueville	The Ball At Sceaux::					
Longueville, Auguste	The Ball At Sceaux::					
Longueville, Clara	The Ball At Sceaux::					
Longueville, De	The Ball At Sceaux::					
Longueville, Maximilien	The Ball At Sceaux::					
Lora, Don Juan De	The Unconscious Humorists::					
Lora, Leon De	The Unconscious Humorists::A Bachelor's Establishment::A Start In Life::Pierre Grassou::Honorine::Cousin Betty::Beatrix::					
